time_s,x_m,y_m,z_m,roll_rad,pitch_rad,yaw_rad
8.09,-0.24773936088533122,-0.04444351578932319,0.2623316966641434,-0.02314906068230771,-0.33428207662866694,-0.537178043683459
8.1,-0.24696934993539152,-0.04746577505002584,0.2612592994468419,-0.019391075622167797,-0.3354317964522555,-0.533018701623797
8.11,-0.24618515277363748,-0.050544965565027,0.2601792568088978,-0.015399039311809304,-0.33642302575787886,-0.5286655197235675
8.120000000000001,-0.24539978127796197,-0.053673993793535824,0.2591117266776495,-0.011149837109230898,-0.33718548585649133,-0.5240862928468957
8.13,-0.24462231016338906,-0.05683992510058505,0.25807927320546953,-0.006642292853606069,-0.3376530931531043,-0.5192531880830509
8.14,-0.24385689859041024,-0.060025197209500676,0.2571041123425528,-0.0018930789091733402,-0.3377721819492301,-0.5141459824057479
8.15,-0.2431021580274744,-0.06320919047236584,0.2562054344924285,0.003069340259885145,-0.33750867902070736,-0.5087550640986453
8.16,-0.24235098750567932,-0.06636985985731288,0.2553972510661949,0.008210687013022078,-0.336852960990623,-0.5030840164428301
8.17,-0.24159108905482818,-0.0694852002134074,0.2546871544738128,0.013495340402413625,-0.33582123389745,-0.4971520543273207
8.18,-0.24080628724359188,-0.07253449641059141,0.2540762035402454,0.0188888964642131,-0.3344526264240395,-0.4909966518388673
8.19,-0.2399785115661316,-0.07549945641486075,0.2535598828704961,0.024359261692565415,-0.332801836010574,-0.4846757633626013
8.2,-0.23909004272228035,-0.07836532813264381,0.25312982991782945,0.029877028856490462,-0.3309281651932472,-0.47826773194125627
8.21,-0.23812555158318469,-0.08112195914461695,0.2527758690806151,0.03541573357626415,-0.32888288306964775,-0.4718666666096909
8.22,-0.23707358271989903,-0.08376458372916935,0.25248788387487353,0.04095228806359508,-0.3266975503382574,-0.4655723594717349
8.23,-0.23592733653690517,-0.0862940472148786,0.2522571848161319,0.046467604610005875,-0.3243759411502811,-0.45947597857713074
8.24,-0.2346847629145696,-0.08871625614993923,0.2520772226258315,0.05194718033477397,-0.321891466232469,-0.4536445833609619
8.25,-0.2333480379893483,-0.09104084194855065,0.25194366692890846,0.05738135868438077,-0.31919076337183494,-0.44810822643308734
8.26,-0.23192250362198813,-0.09327926982312132,0.25185397315694114,0.06276523186735838,-0.3162027801255971,-0.442852957857895
8.27,-0.230415223858437,-0.09544280136261318,0.2518066000295985,0.0680984376612237,-0.3128515986641638,-0.4378216591196167
8.28,-0.22883347765400244,-0.09754073123372663,0.2518000461374095,0.07338506075384421,-0.30907062023155163,-0.4329227150152617
8.290000000000001,-0.22718361085731698,-0.0995791809162764,0.2518318688593545,0.07863351513817163,-0.3048156527140744,-0.42804476117913604
8.3,-0.2254705683482193,-0.10156054851372454,0.2518978349607376,0.08385596796231454,-0.3000748968006448,-0.42307466386599346
8.31,-0.2236981748584205,-0.10348356306396707,0.2519913380321698,0.0890667567097494,-0.29487441320421137,-0.41791544592497143
8.32,-0.2218699940910436,-0.10534380647430405,0.2521032361613695,0.09427947613822774,-0.2892780267409365,-0.4125007987485012
8.33,-0.21999044833130513,-0.1071345548642537,0.25222231011705004,0.09950305623628752,-0.2833810507688277,-0.4068032444329557
8.34,-0.21806581683540496,-0.10884781201548388,0.2523365096187883,0.1047379178113288,-0.27729818741897283,-0.40083427565404417
8.35,-0.2161047545824767,-0.11047539891409973,0.2524349296560613,0.10997350530903782,-0.2711472964312329,-0.39463680513846633
8.36,-0.21411809668339363,-0.11200994614209317,0.2525101116942331,0.11518789578426558,-0.2650317197477383,-0.38827228945775527
8.370000000000001,-0.21211791291349683,-0.1134456847431478,0.252560034804662,0.12034936823080145,-0.2590241910792037,-0.3818060351961452
8.38,-0.21011599579776358,-0.11477902592366389,0.2525892158188063,0.12541953140259832,-0.25315525249834137,-0.3752939904137387
8.39,-0.20812213710718688,-0.11600895408569847,0.2526086282196283,0.13035787213522187,-0.24740855201553114,-0.3687732133161221
8.4,-0.20614259932005963,-0.11713720327457877,0.2526345059091639,0.13512777447174962,-0.24172413316410957,-0.36225708228013254
8.41,-0.20417909723184677,-0.11816812941145839,0.25268635965767233,0.13970365104589,-0.23600900371743894,-0.3557355023011226
8.42,-0.20222844592702205,-0.11910819954775707,0.2527846170730544,0.14407800884552913,-0.23015267538676687,-0.3491795561756481
8.43,-0.20028290326826365,-0.11996508478349359,0.2529482345817864,0.14826670419524568,-0.22404464382126887,-0.3425491528545894
8.44,-0.19833114395064047,-0.12074643127560586,0.2531925437276395,0.15231068132147296,-0.21759083955613834,-0.33580168872229477
8.45,-0.19635969588073363,-0.1214584771925529,0.25352757293500816,0.15627302157345735,-0.21072657978435982,-0.32889992470075535
8.46,-0.19435456477870855,-0.12210476558625535,0.2539571021324928,0.1602310552215176,-0.20342441870225958,-0.32181801272264243
8.47,-0.19230275546995607,-0.12268524083897861,0.25447865152103305,0.1642645419069595,-0.1956963861253196,-0.31454535377760573
8.48,-0.1901934889002208,-0.12319597091481138,0.2550844001866831,0.16844213268411945,-0.18759095523107527,-0.3070883422175177
8.49,-0.1880190197776023,-0.12362960105918823,0.2557627524337336,0.17280894497153954,-0.17918550457358018,-0.2994700911526489
8.5,-0.1857750029954946,-0.12397647298808592,0.25650012258725785,0.17737785007015994,-0.17057539122715593,-0.29172825235722266
8.51,-0.18346037811946989,-0.12422621349280381,0.2572825937003827,0.18212612578992493,-0.16186125369472615,-0.2839111781196313
8.52,-0.18107682376811834,-0.12436952077223593,0.25809729083654065,0.18699787275734625,-0.15313650687109703,-0.27607280043597493
8.53,-0.17862796721923238,-0.12439982337178049,0.25893341300989225,0.19191145473112758,-0.1444768231976421,-0.2682666704663039
8.540000000000001,-0.1761185996328284,-0.12431446911100819,0.2597828755878933,0.19677031504606513,-0.13593279785929546,-0.26053976158552805
8.55,-0.17355406449194744,-0.1241151785349685,0.26064053067683274,0.20147481177119975,-0.1275263100882542,-0.25292694975860774
8.56,-0.1709398503684464,-0.12380768668827095,0.2615039996923018,0.20593253548641322,-0.11925050909073498,-0.24544725426734937
8.57,-0.16828137813032878,-0.12340073637891091,0.26237322663213997,0.21006541024058123,-0.11107291537926267,-0.23810261394603316
8.58,-0.16558400440186344,-0.12290476082161032,0.2632498978969323,0.21381349296379737,-0.10294091912247216,-0.2308792706295706
8.59,-0.16285322154820064,-0.12233059971049025,0.2641368532707433,0.21713672726991717,-0.09478898945865666,-0.22375112285880894
8.6,-0.16009490068937618,-0.12168842784500769,0.265037536053268,0.2200161419387383,-0.08654695841710724,-0.21668397566391162
